Original_function_call;input_dir_tif;input_file_czi;cilium_color;nucleus_color;projection_method_for_threshold_calculation;threshold_by_density_of_cilium_pixels;threshold_find;threshold_connect;vicinity_combine;vicinity_connect;min_cilium_area_in_pixels;max_cilium_area_in_pixels;number_size_factor;pixel_size;slice_distance;nuc_mask_width_height_in_pixels
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_3.6;NA;green;NA;max;TRUE;0,224597543297475;0,0224597543297475;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_3.7;NA;green;NA;max;TRUE;0,217242694743267;0,0217242694743267;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_3.8;NA;green;NA;max;TRUE;0,210513466086824;0,0210513466086824;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_3.9;NA;green;NA;max;TRUE;0,204028381780728;0,0204028381780728;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_3;NA;green;NA;max;TRUE;0,271366445410849;0,0271366445410849;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_4.1;NA;green;NA;max;TRUE;0,191302357518883;0,0191302357518883;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_4.2;NA;green;NA;max;TRUE;0,185458152132448;0,0185458152132448;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_4.3;NA;green;NA;max;TRUE;0,179842832074464;0,0179842832074464;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_4.4;NA;green;NA;max;TRUE;0,174059662775616;0,0174059662775616;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_4.5;NA;green;NA;max;TRUE;0,168825818265049;0,0168825818265049;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_4.6;NA;green;NA;max;TRUE;0,163805600061036;0,0163805600061036;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_4.7;NA;green;NA;max;TRUE;0,158648050659953;0,0158648050659953;5;1;5;100;0,2;1;1;45
