fileName,researcher,Cilium_number,horizontal_length_in_pixels,z_lower,z_upper,horizontal_scaling_in_um,vertical_scaling_in_um,horizontal_length_in_um,vertical_length_in_layers,vertical_length_in_um,total_length_in_um
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,8,11.102,7,14,0.219647042583026,0.281,2.4385214667567547,8,2.248,3.3166083494789547
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,9,6.895,7,13,0.219647042583026,0.281,1.5144663586099643,7,1.967,2.4824780666425483
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,10,4.568,7,13,0.219647042583026,0.281,1.0033476905192626,7,1.967,2.208120374452067
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,11,4.807,8,13,0.219647042583026,0.281,1.055843333696606,6,1.6860000000000002,1.9893217802335454
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,1,19.847,6,14,0.109823521291513,0.281,2.179667427072659,9,2.5290000000000004,3.3386810408665197
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,2,14.95,6,14,0.109823521291513,0.281,1.6418616433081192,9,2.5290000000000004,3.015219835396159
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,3,12.105,4,13,0.109823521291513,0.281,1.329413725233765,10,2.8100000000000005,3.1086075424279467
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,4,16.034,8,14,0.109823521291513,0.281,1.7609103403881194,7,1.967,2.640055724200874
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,5,17.843,8,16,0.109823521291513,0.281,1.9595810904044664,9,2.5290000000000004,3.199343534206785
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi,kai,6,22.362,5,14,0.109823521291513,0.281,2.4558735831208134,10,2.8100000000000005,3.731945210780923
