fileName,cilium_number_automatic,cilium_number_clemens,comments
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,20,19,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,24,20,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,22,21,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,21,22,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,23,23,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,25,24,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,26,25,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,27,26,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,28,27,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,1,28,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,NA,29,at border
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,15,30,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,4,1,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,2,2,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,1,3,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,3,4,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,5,5,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,6,6,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,9,7,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,8,8,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,7,9,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,12,10,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,11,11,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,13,12,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,10,13,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,14,14,NA
