"fileName","cilium","vertical_length","horizontal_length","total_length","to_be_removed"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",4,3.65818821961754,3.45986480395739,5.0351768103823,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",5,3.93958731343428,2.65098447103501,4.74848047967358,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",6,6.19078006396815,2.63719535636209,6.72908293514378,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",7,3.37678912580081,1.79628161241628,3.82483103303027,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",8,3.09539003198407,2.06548965864647,3.72124804065543,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",9,4.50238550106774,2.86728372809324,5.33786391523925,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",10,3.93958731343428,3.52816481891356,5.28850595060567,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",11,4.22098640725101,2.89235817926089,5.11688011265997,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",12,4.22098640725101,3.1606754686838,5.27319596341131,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",13,3.37678912580081,1.79919755916133,3.8262013351389,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",14,3.65818821961754,1.51679536387369,3.96017792858064,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",15,3.93958731343428,2.81734353369274,4.84332249463244,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",16,2.81399093816734,3.0819619839784,4.17337209828886,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",17,3.93958731343428,2.98295331606342,4.94149356834409,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",18,5.06518368870121,2.95338655016747,5.86332481745596,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",19,4.22098640725101,1.6677238877869,4.53850517418377,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",20,5.06518368870121,3.83660073031574,6.35417901574579,"yes_or_no"
