fileName,cilium,cilium_shape,cilium_projection_area_in_pixels,cilium_projection_area_in_um2,number_of_z_stack_layers,lowest_cilium_layer,uppermost_cilium_layer,vertical_length_in_layers,vertical_length_in_um,horizontal_length_in_pixels,horizontal_length_in_um,total_length_in_um,to_be_removed
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,15,TRUE,36,1.7,35,16,29,14,3.94,8.1,1.77,4.32,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,16,TRUE,27,1.3,35,14,25,12,3.38,7,1.54,3.71,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,1,FALSE,32,1.5,23,5,14,10,2.81,6,1.32,3.11,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,2,TRUE,58,2.8,23,1,11,11,3.1,14.4,3.15,4.42,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,3,FALSE,34,1.6,23,7,17,11,3.1,7.4,1.62,3.5,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,4,TRUE,47,2.3,23,4,13,10,2.81,11.6,2.54,3.79,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,5,TRUE,30,1.4,23,3,11,9,2.53,8.3,1.83,3.12,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,6,TRUE,49,2.4,23,6,14,9,2.53,14.5,3.19,4.08,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,7,TRUE,36,1.7,23,5,14,10,2.81,11.2,2.46,3.74,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,8,TRUE,38,1.8,23,4,14,11,3.1,9.1,2,3.69,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,9,TRUE,58,2.8,23,4,14,11,3.1,16.7,3.67,4.8,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,10,TRUE,22,1.1,23,7,14,8,2.25,8.3,1.81,2.89,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,11,TRUE,17,0.8,23,6,13,8,2.25,7.4,1.62,2.77,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,12,TRUE,38,1.8,23,4,13,10,2.81,12.6,2.76,3.94,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,13,TRUE,42,2,23,6,16,11,3.1,11,2.42,3.93,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,14,TRUE,41,2,23,3,12,10,2.81,12.2,2.67,3.88,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,15,TRUE,47,2.3,23,6,16,11,3.1,14.8,3.25,4.49,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,16,TRUE,25,1.2,23,8,14,7,1.97,8,1.77,2.65,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,1,TRUE,21,1,38,13,24,12,3.38,6.3,1.38,3.65,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,2,TRUE,62,3,38,12,25,14,3.94,14.1,3.1,5.01,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,3,TRUE,38,1.8,38,15,25,11,3.1,11,2.42,3.93,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,4,TRUE,58,2.8,38,14,24,11,3.1,14.7,3.23,4.47,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,5,TRUE,47,2.3,38,11,22,12,3.38,10.7,2.34,4.11,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,6,TRUE,59,2.8,38,14,25,12,3.38,17.4,3.83,5.1,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,7,FALSE,20,1,38,16,25,10,2.81,5.4,1.18,3.05,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,8,TRUE,75,3.6,38,11,24,14,3.94,17.4,3.83,5.49,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,9,TRUE,48,2.3,38,16,28,13,3.66,10.9,2.39,4.37,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,10,TRUE,68,3.3,38,11,24,14,3.94,15.5,3.4,5.2,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,11,TRUE,53,2.6,38,14,27,14,3.94,13,2.86,4.87,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,12,TRUE,41,2,38,12,22,11,3.1,12.4,2.73,4.13,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,13,TRUE,40,1.9,38,15,27,13,3.66,10.1,2.21,4.28,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,14,TRUE,28,1.4,38,16,24,9,2.53,8.3,1.81,3.12,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,15,FALSE,28,1.4,38,14,24,11,3.1,7.3,1.6,3.49,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,16,FALSE,27,1.3,38,17,28,12,3.38,6.1,1.34,3.63,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,17,FALSE,19,0.9,38,14,24,11,3.1,5,1.1,3.29,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,18,TRUE,26,1.3,38,14,25,12,3.38,7,1.54,3.71,
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,19,TRUE,44,2.1,38,13,24,12,3.38,10.6,2.32,4.1,
